Company Name,Funding Round,Funding Amount (USD),Investor(s)
Limited,Pre-Seed,3000000,Third Prime
Sotira,Pre-Seed,2000000,Unusual Ventures
Future AGI,Pre-Seed,1600000,Powerhouse Ventures
Elio,Pre-Seed,2000000,Ananda Impact Ventures
Pinkfish,Seed,7600000,Norwest Venture Partners
Vertical Compute,Seed,20500000,XAnge
Fleetbrains,Pre-Seed,880000,Icebreaker.vc
Wonder,Pre-Seed,2600000,LocalGlobe
Merx,Pre-Seed,1300000,VentureFriends
CapRelease,Pre-Seed,2000000,FinTech Family Office
Taxflow,Pre-Seed,750000,BFF
Qumis,Seed,2200000,Armory Square Ventures
ReFiBuy.ai,Pre-Seed,1700000,G20 Ventures
Incept AI,Seed,3000000,Rally Ventures
BitDCA (Littlebit),Seed,8200000,Ale Minx
Human,Seed,7300000,Soma Capital
Glue,Pre-Seed,2000000,Fortive
Whetstone Research,Pre-Seed,1300000,Variant
Gaia Dynamics,Pre-Seed,1500000,AI Fund
EcoSphere Tech,Seed,5000000,Ananda Impact
Boardy AI,Seed,8000000,Creandum
Cluely,Seed,5300000,Abstract Ventures
ingarden,Seed Ext.,1300000,Ankerkraut
Nutrix,Seed,2500000,Mayo Clinic
PHNX Materials,Seed,2500000,KdT Ventures
Portia AI,Seed,5500000,General Catalyst
Slate Auto,Series B,100000000,Bezos
Stacks,Seed,7000000,EQT Ventures
Telli,Pre-Seed,3600000,YC
Worth,Seed,20000000,TTV Capital
